,cpu_rating,display_density,display_height,display_size,display_width,height,memory,standby_time,talk_time,thickness,weight,width
Samsung-GALAXY-Note-LTE_id6779,1,285,1280,3,800,147,1,250,10.00,10,178,83
Motorola-Adventure-V750_id2845,,182,320,2,240,103,,540,5.50,17,110,52
Verykool-s810_id6276,,167,240,4,320,115,,432,3.50,13.50,102,54
Motorola-GLEAM_id5209,,167,320,4,240,106,,500,6.25,13.9,105,53
i-mobile-S386_id6306,,141,176,0,220,114,,250,2.50,12,,60
LG-GU200_id4960,,116,160,8,128,91,,400,5.00,15.9,86,44.2
Celkon-Millennia-OCTA510_id9077,1,294,1280,0,720,143.5,1,,,9.1,136,71
Kyocera-5135_id520,,,,,,86,,108,3.00,25,94,43
Spice-Mobile-Stellar-451-3G_id9201,1,218,854,5,480,134.5,,60,5.50,8.7,156,69.5
Motorola-C380C385_id832,,,128,,128,99,,230,4.00,22.7,80,45
LG-LX350_id1443,,,160,,128,91.5,,341,4.00,23,105,48
Motorola-SPICE-Key_id5705,3,143,320,8,240,116.5,5,,9.16,13.45,110,58
Motorola-i670_id1645,,,130,,130,88,,130,2.75,26,115,51
Garmin-Asus-nuvifone-A50_id4425,3,165,480,5,320,116,5,600,8.00,12,139,62
Samsung-S390G_id6897,3,167,240,4,320,112,,300,6.00,12,100,62
LG-Sentio_id4678,,155,400,0,240,107,,384,6.00,13,94,53
Samsung-B7722_id4639,,146,400,2,240,113.5,,420,12.83,14.3,105,55.5
Fly-Horizon-2-IQ436_id9226,3,165,480,5,320,115.3,5,,4.20,12.4,114,60.5
LG-KG270_id2006,,121,128,5,128,98,,250,3.00,13,59,45
Videocon-V1402_id6071,,114,160,8,128,107,,240,5.00,14,,46.5
BlackBerry-Curve-8900_id2895,3,246,360,4,480,109,,356,5.50,13.5,110,60
ViewSonic-ViewPad-G70_id6984,3,170,600,0,1024,,,,,,,
Xolo-LT900_id8636,1,342,1280,3,720,128.7,1,362,15.00,9.8,140,66
ZTE-San-Francisco_id5731,,267,800,5,480,116,,220,4.00,11.8,130,56.5
Samsung-SGH-V205_id503,,,160,,128,91,,100,4.00,23,96,47
Celkon-A99_id7237,3,256,960,3,540,126.1,,500,6.00,12.3,,65.4
ARCHOS-80-Cobalt_id7670,1,160,768,0,1024,153.5,1,,,11.5,470,203
Samsung-Fascinate-4G_id5518,3,233,800,0,480,122.5,5,300,6.50,9.9,121,64.5
Sony-Ericsson-K750_id1148,,,220,,176,100,,400,9.00,20.5,99,46
Celkon-C305_id7322,,160,220,8,186,105,,160,5.00,15,73,43
LG-VX-2000_id435,,,80,,120,117,,120,3.20,22,113,47
Samsung-Vodafone-360-M1_id4123,3,146,400,2,240,111,,650,12.00,13.3,111,55
PCD-CDM-8615--8610_id868,,,,,,114,,240,3.00,23,105,46
BlackBerry-Pearl-8110_id2564,3,,260,,240,107,,360,4.00,14.5,91,50
Samsung-Omnia-CDMA_id3128,,146,400,2,240,112,5,300,5.50,13,123,57
Sony-Ericsson-W890_id2421,,200,320,0,240,104,,360,9.50,9.9,78,46.5
Alcatel-OneTouch-Tab-8-HD_id7632,1,183,768,0,1024,202,1,,,9.5,450,154
HTC-Magic_id3421,3,180,480,2,320,113,5,420,7.50,13.6,118,55
Nokia-6200_id465,,,128,,128,106,,240,4.00,19,91,45
Philips-S308_id9707,1,233,800,0,480,126,5,700,9.50,9.7,125,64.5
Motorola-SLVR-L7_id1118,,,220,,176,113.5,,350,6.66,11.5,99,49
Asus-MeMO-Pad-Smart-10_id7717,1,149,800,1,1280,263,1,,,9.9,580,180.8
Apple-iPad-Pro_id9640,1,265,2732,9,2048,304.8,,,,6.9,713,220.5
OPPO-Mirror-5_id9522,1,220,960,0,540,143.4,2,,,7.65,160,71.2
Samsung-Freeform-5_id7809,,167,240,4,320,112,,350,6.00,11,94,86
Alcatel-OT-E801c_id2812,,,128,,128,96.5,,72,2.00,17.5,75,45
Zen-Mobile-M32_id8025,,,,2,,,,480,,,,
Lemon-Mobiles-B329_id7002,,,,4,,119.0,,840,17.00,15.1,82,53.1
Samsung-E1232_id6837,,222,320,8,240,110.6,,580,10.16,13.9,73,45.3
Sendo-S601_id892,,,128,,128,108,,450,7.00,20,83,45
Samsung-S3572_id7335,3,167,240,4,320,112,,400,11.60,11,96,60
Sanyo-SCP-4930--RL-4930_id1342,,,112,,128,114,,,5.50,25,125,50
BLU-Samba-TV_id8828,,141,220,0,176,107.8,,700,51.00,14,80,59.8
Google-Nexus-5_id8148,1,445,1920,0,1080,137.84,2,300,17.00,8.59,130,69.17
mobiado-PRO-CAMO_id3396,,,128,,128,105,,300,5.00,20,142,46
LG-KE770-Shine_id2112,,,220,,176,105,,200,2.50,9.9,90,46
Motorola-RAZR-V3_id893,,,220,,176,98,,250,6.50,13.9,95,53
Samsung-ATIV-SE_id8534,1,441,1920,0,1080,138,2,480,20.00,8,136,70
Xolo-Q610s_id9131,1,218,854,5,480,128,1,430,19.00,9.3,,64.3
Samsung-SGH-S500i_id1338,,,320,,240,91,,190,3.00,23,98,47
LG-G-Vista_id8737,1,258,720,7,1280,152.1,5,655,26.70,9.1,168,79.2
Motorola-E375_id1037,,,220,,176,111,,,,22,100,47
Motorola-A768i_id1050,3,,320,,240,100,,180,6.00,21,120,53
Panasonic-G50--G51_id741,,,96,,128,80,,200,6.00,18,74,43
Alcatel-OneTouch-Evolve_id8162,3,233,800,0,480,121.5,5,400,13.50,11.8,136,64
Nokia-5230-US_id4006,3,229,640,2,360,111,5,438,7.00,15.5,115,51.7
Sony-Xperia-Z4v_id9471,1,565,2560,2,1440,144.4,3,,,8.6,160,72.3
LAVA-Iris-250_id9338,1,233,800,0,480,121.5,5,250,11.50,9.8,,63.9
Nokia-N82_id2487,3,167,320,4,240,112,5,225,4.33,17.3,114,50.2
Sony-Ericsson-K850_id2204,,182,320,2,240,102,,400,9.00,17,118,48
PCD-CDM-8920--PM-8920_id859,,,160,,128,89,,168,3.50,23,92,48
Karbonn-KD-100_id6421,,141,220,0,176,112,,96,8.00,13,80,46.5
Karbonn-Kurve_id6886,,128,220,2,176,121,,480,2.50,12.6,70,48.6
Motorola-i1000plus_id61,,,,,,119,,45,3.00,30,170,61
Toshiba-Excite-10_id7029,1,149,800,1,1280,262,1,,,9,599,178
Celkon-A333_id9948,3,165,480,5,320,,5,,,,85,
ICEMOBILE-Rock-Mini_id8043,,,,8,,,,,,,,
ZTE-Grand-S_id7642,1,441,1920,0,1080,142,2,,,6.9,,69
Motorola-RAZR-V3xx_id1681,,182,320,2,240,103,,400,5.00,15,107,53
INQ-Cloud-Touch_id5586,,165,480,5,320,114,,,,13,122,62
LG-GM600_id4466,,155,400,0,240,106.7,5,513,7.00,12.9,102,52.9
Celkon-C206_id7295,,157,220,8,176,108,,400,9.33,16.5,,48
ZTE-Engage_id7514,2,233,800,0,480,122,1,600,8.33,13,153,61
BenQ-E72_id2848,,200,320,0,240,108,,180,4.00,13.8,90,46.3
Microsoft-Lumia-1330_id9112,1,258,1280,7,720,,1,,,,,
LG-530G_id6899,,,,,,112,,151,3.80,10,94,58
Pantech-C600_id1937,,157,220,8,176,90.3,,250,3.00,18.8,75,44.8
Gionee-Pioneer-P4S_id10117,1,208,854,7,480,131.5,1,162,13.50,8.5,128,66
Lenovo-IdeaPhone-K900_id7663,1,401,1920,5,1080,157,2,300,15.00,6.9,162,78
ARCHOS-50b-Helium-4G_id9042,1,294,1280,0,720,145,1,,,8.95,,71.5
LG-GD330_id3630,,182,320,2,240,102.7,,500,5.00,11.9,102,50
Samsung-S5511_id5318,,182,320,2,240,98.1,,450,3.00,18.4,107,48.5
Kyocera-SoHo--KX1--KX1i_id791,,,128,,128,88,,180,3.50,25,108,44
Alcatel-OT-C550_id2194,,,160,,128,102.5,,320,6.50,15.5,82,44
LG-L90_id8416,1,234,960,7,540,131.5,1,144,6.00,9.6,126,66
Micromax-X276_id7148,,167,320,4,240,48.6,,145,3.00,13.5,,118
GIGABYTE-GSmart-MS802_id3327,3,143,320,8,240,117,5,150,4.00,14.8,130,59.8
Plum-profile_id7200,,226,320,8,240,94.2,,600,5.00,18.5,66,45
Motorola-WX181_id4582,,125,128,4,128,108,,580,8.00,14.8,83,46
Celkon-A35K-Remote_id9579,3,165,480,5,320,119,5,,,9.65,105,63
Motorola-VE440_id4129,,148,220,9,176,112,,396,4.50,15,75,48
LG-KT520_id2615,,182,320,2,240,101.4,,260,3.33,15.3,101,49.6
Alcatel-OneTouch-Idol-Ultra_id7625,1,312,1280,7,720,134.4,1,400,12.00,6.45,115,68.5
Fly-Thunder-5-IQ4413_id9748,1,234,960,7,540,137.5,1,187,8.50,9.1,150,66.9
HTC-P3350-Love_id1975,3,143,320,8,240,108,,200,4.00,16.8,130,58
Karbonn-K101-Media-Champ_id7676,,116,160,8,128,44.7,,240,5.00,15.3,69,104
Motorola-Moto-Z-Droid-Edition_id10111,1,535,2560,5,1440,153.3,4,,,5.19,136,75.3
Motorola-SPICE_id4962,,192,480,0,320,97,5,230,7.00,16.8,145,61
Notion-Inc-Adam_id5279,1,118,600,1,1024,269,1,,,14,725,191
Nokia-2260_id539,,,48,,84,114,,360,5.00,24,147,48
Ericsson-R289LX_id16,,,40,,101,160,,160,2.40,23,173,51
Samsung-T259_id5109,,182,320,2,240,98,,335,5.10,17,89,49
Haier-U69_id5981,,146,400,2,240,,,300,5.00,,,
Samsung-BEAT-DISC_id3501,,179,400,6,240,106.8,,,,14.7,,50.9
Sonim-XP3340-Sentinel_id6261,,200,320,0,240,126,,800,24.00,25,185,60
Motorola-E815--E816-Hollywood_id1042,,,220,,176,94,,300,4.67,23,126,50
Micromax-Q7_id5964,,182,320,2,240,110,,,,10.17,100,59
Yezz-Chico-2_id7173,,111,160,8,120,105,,150,4.00,14.4,55,45
Nokia-5500-Sport_id1609,3,,208,,208,107,,270,4.00,18,103,45
Samsung-SGH-i700_id570,3,,320,,240,132,,100,3.33,18,160,70
Alcatel-OT-C820A_id5864,,148,220,9,176,96,,300,6.00,18,99,50
Pantech-Jest-2_id6419,,167,240,4,320,94,,322,4.90,15,116,66
Spice-Mobile-Mi-350n_id6781,3,165,480,5,320,116,,200,5.00,12.75,136,61
BlackBerry-8820_id2282,3,,240,,320,114,,528,5.00,14,134,66
LAVA-Pixel-V1_id9872,1,267,1280,5,720,152.08,2,,20.12,8.5,135,76.31
ZTE-Altair_id8720,3,167,240,4,320,114,5,,,10,,61
Samsung-SGH-F330_id2335,,,320,,240,103,,300,3.00,13.5,91,48
Gionee-P2_id8803,1,233,800,0,480,126,5,,,11.5,,64.4
Sharp-802SH_id985,,,320,,240,102,,,,26,141,50
Philips-Xenium-X503_id6720,,167,320,4,240,114.5,,600,8.00,10.95,93,49.5
Motorola-MILESTONE-US_id4331,3,265,854,7,480,115.8,5,350,6.50,13.7,169,60
Lenovo-TAB3-8_id9981,1,189,1280,0,800,,2,,,,329,
Karbonn-A18_id8269,,196,854,0,480,146,5,250,4.00,9.3,,70.6
LG-KG195_id3420,,114,160,8,128,100,,,,12,70,45
Karbonn-A11_id8367,3,208,854,7,480,141.4,5,240,5.00,10.1,130,69
Spice-Mobile-Smart-FLO-Pace3_id9239,1,187,800,0,480,148.5,5,400,8.30,10.4,190,78.9
Samsung-Impact_id3965,,155,400,0,240,,,240,4.00,,105,
Lenovo-K800_id6840,2,326,1280,5,720,130.5,1,,,10.95,,71.2
Sanyo-Katana-DLX_id2228,,200,320,0,240,94,,,4.00,15,99,48
Karbonn-KT7_id7142,,167,320,4,240,115,,500,6.00,15.5,110,50
Alcatel-OneTouch-POP-Icon_id8954,1,220,960,0,540,141,1,800,13.00,9.9,149,72.1
Toshiba-PORTEGE-G500_id1968,3,174,320,3,240,96,,240,4.00,22.9,135,49
i-mobile-Hitz-2207_id6344,,126,128,4,128,98,,280,5.60,13.5,,43
Nokia-5330-XpressMusic_id3570,,167,320,4,240,101,,350,7.70,14,113,48
Pantech-PN-810_id1845,,,320,,240,110,,248,5.16,22,159,56
LAVA-A88_id10085,1,187,800,0,480,145.5,5,,14.25,9.1,157,72
Videocon-V1602_id6045,,128,220,2,176,108,,240,5.00,14.5,,48
Acer-Liquid-Z630_id9603,1,267,1280,5,720,156.3,1,1030,22.00,8.9,165,77.5
LG-G4-Beat_id9512,1,424,1920,2,1080,142.7,5,100,4.00,9.85,139,72.6
Zen-Mobile-U5_id7982,3,,,2,,,,240,8.00,,,
Sonim-XP3340-SENTINEL-Z1_id8918,,200,320,0,240,126,,400,7.00,25,185,60
LG-F9200_id1410,,,160,,128,110,,250,4.00,24.5,134,50
ZTE-E850_id5335,,167,400,8,240,104,,,,13.5,,50.4
LG-Optimus-GJ_id8040,1,312,1280,7,720,136.9,2,515,23.00,9.39,141,68.9
Verykool-S815_id6793,,,,4,,105.5,,192,3.00,11.7,90,58
Maxwest-TAB-7160DC_id8015,1,170,600,0,1024,160,1,,,14.3,,115
Alcatel-OT-S520_id2808,,,160,,128,103.5,,400,10.00,10.9,69,44.9
LAVA-Iris-354e_id8396,1,165,480,5,320,118,5,,,11.8,103,61
i-mobile-i651_id6294,,292,800,2,480,112,,250,4.50,12.5,,57
LG-Lotus_id3137,,167,240,4,320,84,,168,5.50,18,105,61
Zen-Mobile-Admire-Curve_id9913,1,233,800,0,480,125,5,,,9.6,,64.3
Samsung-Galaxy-S-II-T-Mobile_id5541,1,206,800,5,480,130,1,167,7.00,9,135,69
Micromax-Canvas-6_id10121,1,401,1920,5,1080,,3,305,25.00,,,
Zen-Mobile-Cinemax-2_id9911,1,200,960,5,540,157,1,,,9.4,,80
LG-Exalt-II_id9664,,155,400,0,240,111.8,,360,6.00,15.5,113,53.3
Nokia-N72_id1582,,,208,,176,109,,260,3.58,17.5,124,53.5
LG-Optimus-G-AT-T_id7479,1,318,1280,7,768,131,2,324,10.00,8,147,72
ICEMOBILE-Clima_id6231,,99,144,3,176,,,,,,,
PCD-CDM7026_id2187,,114,160,8,128,89,,220,3.80,18,91,48
Samsung-SGH-C327_id1692,,,160,,128,94,,250,3.00,16.5,81,48
Micromax-A60_id5897,3,143,320,8,240,106.8,,240,4.00,14,105,59.2
Alcatel-OT-332a_id760,,,65,,96,,,,,,77,
Spice-Mobile-Smart-Flo-Mettle-3,1,165,480,5,320,119.9,5,120,7.50,11.5,112,63
LAVA-KKT-34_id6080,,117,220,4,176,,,720,12.00,,,
HTC-Rezound_id5799,1,342,1280,3,720,129,1,261,6.73,13.65,170,65.5
Philips-S337_id9902,1,196,854,0,480,144.8,1,380,6.60,10.35,152,72.5
Samsung-SGH-E215_id2843,,100,160,0,120,96,,330,5.50,17.5,89,45
LG-KG190_id2114,,,128,,128,84.5,,200,2.50,22,85,45.5
Xolo-Q500s-IPS_id9138,1,233,800,0,480,,5,700,16.10,,,
Alcatel-OT-900_id5491,3,167,320,4,240,112,,800,8.00,12.9,102,61.5
Benq-Siemens-S88_id1446,,,220,,176,99,,200,7.50,17,105,47
Samsung-SGH-Z510_id1407,,,320,,240,97,,200,3.50,15,97,52
Samsung-Galaxy-Core_id7837,1,217,800,3,480,129.3,1,500,14.00,8.95,124,67.6
ZTE-PF112_id6973,,326,1280,5,720,130,1,,,8.5,,66
Sagem-my901C_id2751,,,320,,240,90,,,,23.5,111,45
Zen-Mobile-X402_id6363,,222,320,8,240,,,,,,,
HTC-Touch-Cruise_id2483,3,143,320,8,240,110,5,400,7.00,15.5,130,58
Alcatel-OT-803A_id5185,3,167,240,4,320,115,,720,10.00,12.9,101,61.1
Plum-Velocity-II_id8556,3,222,320,6,480,110.5,5,200,5.00,12.4,190,64.5
Alcatel-Venture_id6698,3,143,320,8,240,119,5,300,4.00,12,122,58
ICEMOBILE-Rock_id6243,,116,160,8,128,109.7,,580,8.00,15,,46.6
GIGABYTE-GSmart-T4_id8617,1,233,800,0,480,126,5,150,4.50,9.8,121,62
ZTE-Grand-X2-Premium-Pack_id9626,1,220,960,0,540,,1,,,,,
LG-KM555E_id4209,,,400,,240,104.9,,390,5.50,11.9,90,52.6
Zen-Mobile-Shine-M72_id7999,,83,160,4,120,,,720,,,,
LG-TRIBUTE_id8951,1,207,800,5,480,127.5,1,,15.00,10.7,139,67.8
Micromax-Q55_id5885,,167,240,4,320,70,,168,4.00,16.3,75,70
Spice-Mobile-Mi-270_id5568,,143,320,8,240,104,,320,3.00,12.6,,55
OPPO-R9-Plus_id10010,1,367,1920,0,1080,163.1,4,,,7.4,185,80.78
BLU-Life-Play-S_id8320,1,312,1280,7,720,137.5,1,780,18.00,7.8,109,67.5
Motorola-DROID-X2_id5235,1,256,960,3,540,127.5,5,220,8.00,9.90,155,65.5
Samsung-E1360_id3822,,116,160,8,128,96.6,,250,4.00,19,98,45
Alcatel-OneTouch-XPop_id7633,1,245,960,5,540,131,5,700,16.00,11.3,139,68
ZTE-Supreme_id8150,1,294,1280,0,720,142,1,270,15.00,10,153,71
Huawei-DISCOVERY-EXPEDITION_id6876,,200,320,0,240,114.5,,450,5.10,16,,50.5
Alcatel-OneTouch-IDOL-3-5,1,401,1920,5,1080,152.7,2,,13.00,7.4,141,75.14
Alcatel-OneTouch-IDOL-3-4,1,312,1280,7,720,134.6,5,,,7.55,110,65.9
General-Mobile-COSMOS_id4336,3,180,480,2,320,,5,,,,,
Xolo-Era-HD_id9955,1,294,1280,0,720,141.7,1,714,30.48,8.1,,70.7
Dell-Aero_id4350,3,210,640,5,360,122,5,400,5.00,12,104,58
i-mobile-S321_id6327,,167,320,4,240,116,,250,3.00,14.6,92,51
Sony-Xperia-Tablet-S_id7461,1,161,800,4,1280,239.8,1,,,11.85,585,174.4
Sony-Ericsson-S312_id3632,,141,220,0,176,100,,400,8.00,12.5,80,46
LG-GB106_id3956,,121,128,5,128,103,,400,,13.1,70,45
Samsung-SGH-G400_id2666,,180,320,2,240,103,,360,3.50,15,115,51.5
Xiaomi-Mi-4c_id9645,1,441,1920,0,1080,138,2,,,7.8,132,69.6
LAVA-Discover-135_id7947,,125,320,2,240,61.5,,,,12,,118
Samsung-Epic-4G-Touch_id5537,1,206,800,5,480,130,1,252,8.70,10,130,70
Motorola-MOTO-VE66_id3268,,182,320,2,240,103,,400,6.66,15.2,110,49.5
LG-Stylus-2-Plus_id10088,1,386,1920,7,1080,155,3,315,7.50,7.4,146,79.6
Zen-Mobile-M42_id6180,,167,320,4,240,,,250,4.50,,,
Benq-Siemens-C81_id1512,,,176,,132,104,,300,5.00,18,90,46.5
Videocon-Krypton-V50FG_id10064,1,294,1280,0,720,144.6,2,96,6.00,8.6,,71.8
Motorola-C155_id1002,,,67,,98,104,,350,6.70,24,80,49
LG-Gelato-NFC_id5761,3,180,480,2,320,113.5,5,100,4.00,12.1,122,59
Karbonn-K-1515_id6426,,180,480,2,320,108,,240,6.00,14.5,112,54
Samsung-Galaxy-Tab-A-2016_id9961,1,216,1280,0,800,186.9,5,,,8.7,283,108.8
Samsung-Diva-S7070_id4265,,143,320,8,240,101,,800,10.00,13.4,94,54.8
vivo-X5Pro_id9592,1,424,1920,2,1080,147.9,2,,,6.39,151,73.45
BlackBerry-Curve-8330_id2648,3,,240,,320,106.6,,264,4.33,15,113,61
Maxwest-Orbit-3000_id8174,1,165,480,5,320,120.4,5,240,8.00,10.65,116,63.85
Google-Nexus-4_id7531,1,318,1280,7,768,133.9,2,390,15.30,9.1,139,68.7
Microsoft-KIN-ONE_id4558,,154,240,6,320,84,5,210,5.66,19,111,68
HTC-Star-Trek_id1619,3,,320,,240,98.5,,150,5.00,16,99,51.5
Samsung-Galaxy-Express-Prime_id10021,1,294,1280,0,720,142.2,5,240,22.00,7.9,139,71.1
Samsung-E1085L_id3825,,127,128,4,128,107.4,,420,12.00,13.6,64,45.5
Samsung-T340G_id5066,,,,1,,100,,199,5.00,14,92,49
Kyocera-2325_id165,,,,,,120,,144,3.80,24,123,48
Micromax-X231_id6898,,167,320,4,240,120.5,,200,4.00,10.9,62,50.22
Kyocera-K404_id968,,,90,,104,113,,180,3.50,23,100,48
Celkon-A107_id8120,1,187,800,0,480,,5,,,,,
Celkon-A107_id8127,1,187,800,0,480,148,5,300,7.00,9.6,,77.2
Acer-Liquid-X1_id8707,1,258,1280,7,720,184.5,2,250,6.00,8.5,160,80.3
Samsung-SGH-L770_id2611,,,320,,240,102,,200,5.00,14,84,48
Nokia-7270_id942,,,160,,128,88,,270,4.00,22,121,46
Eten-X600_id2474,3,143,320,8,240,107,,170,6.00,14.7,136,58
Huawei-Union_id9745,1,218,854,5,480,135.4,1,350,12.00,9.9,141,67.8
NEC-N820_id766,,,240,,320,101,,100,5.00,24,110,48
HTC-One-SV-LTE_id7619,1,217,800,3,480,128,1,,,9.2,122,66.9
Alcatel-OneTouch-557a_id918,,,160,,128,107.7,,285,7.35,21.4,93,48.2
Celkon-C88_id7372,,146,400,2,240,109,,220,5.00,14,98,54.5
Asus-Eee-Pad-Transformer-3G_id5867,1,149,800,1,1280,271,1,,,12.98,680,171
Samsung-Diva-folder-S5150_id4270,,182,320,2,240,94,,470,7.00,17.4,83,47
Alcatel-OneTouch-Pop-2-4,1,218,854,5,480,132.5,1,400,8.00,9.95,147,65.4
Palm-Roadrunner_id5010,,,,,,,,,,,,
Samsung-SGH-E730_id1182,,,220,,176,87,,260,5.00,22.5,87,44
Sagem-my511X_id2755,,,160,,128,106.9,,212,3.00,10.9,81,46.3
Amazon-Kindle-Fire-HDX-7_id8158,1,323,1200,0,1920,186,2,,,9.0,303,128
Amoi-M300_id6224,,114,176,0,144,104.0,,,,12.9,80,46.0
LG-Optimus-L5-II_id7715,3,233,800,0,480,117.5,5,550,10.00,9.2,100,62.2
BLU-Studio-C_id9739,1,294,1280,0,720,144,1,720,,9.4,172,72.4
Nokia-1616-US_id4244,,,160,,128,107.1,,540,8.52,15,79,45
General-Mobile-GM-5-Plus_id10091,1,401,1920,5,1080,152,3,,,7.9,160,76.5
Huawei-P9_id10012,1,424,1920,2,1080,145,3,,,6.95,144,70.9
Amazon-Kindle-Fire-HDX-8,1,339,1600,9,2560,231,2,,,7.8,374,158
Maxwest-ORBIT-78DC_id8018,1,133,480,0,800,,1,,,,,
Sanyo-S1_id2387,,121,160,7,128,112,,,3.50,10,71,46
LG-Optimus-L4-II-Dual_id8561,3,152,480,8,320,112.8,5,652,10.50,11.9,125,64.7
Samsung-SGH-T229_id2692,,116,160,8,128,89,,192,6.00,20,85,48
Amoi-A203_id6218,,121,128,5,128,101.0,,,,13.4,72,46.0
LG-VX8550_id2157,,,320,,240,98,,350,4.16,17,92,47.5
Karbonn-Machone_id9412,1,312,1280,7,720,137,1,,,8.1,,68
Celkon-C44_id7357,,167,320,4,240,114,,500,12.00,15.3,96,50
Nokia-Lumia-910_id6874,2,217,800,3,480,127.8,5,300,7.00,12,160,69
LG-L1400_id914,,,160,,128,89.40,,220,3.30,24.63,95,45.72
Spice-Mobile-X-Life-425_id9970,1,233,800,0,480,123.9,5,,,10.25,,65
LG-Select_id4693,,141,220,0,176,94,,440,5.00,18,92,47
Plum-Gator_id9101,1,267,800,5,480,131.8,5,900,22.00,21.7,207,70
LG-Shine-II_id3723,,182,320,2,240,107,,300,3.30,13,125,51
Haier-Z1700D_id2880,,,,5,,,,,,,65,
BLU-CUBO_id5161,,,,4,,106,,,,13.7,,61
Nokia-130_id8808,,114,160,8,128,106,,864,13.00,13.9,69,45.5
Nokia-X6-16GB-Latin-America_id4386,3,229,640,2,360,111,5,420,11.50,13.8,122,51
T-Mobile-Sidekick-Slide_id2388,,,240,,320,117,,86,5.90,17,150,61
Celkon-2GB-Star_id9945,1,207,800,5,480,133.5,2,190,4.00,10.1,134,66.5
i-mobile-319_id4097,,123,160,7,128,96,,250,3.00,13.9,80,44
HTC-Desire-C_id7037,3,165,480,5,320,122,5,,,13,99,61
Sagem-MYX-5_id516,,,80,,101,105,,240,4.00,20,93,46
Samsung-Galaxy-Tab-Active_id8892,1,189,1280,0,800,213.1,5,,,9.75,368,126.2
Lenovo-YOGA-Tablet-2-10-inch-Windows_id8962,1,224,1200,1,1920,255,2,,,7.2,629,183
LG-KP330_id3160,,141,220,0,176,101.5,,300,3.00,17.7,110,49.7
Nokia-7230_id4260,,167,320,4,240,98,,370,5.40,14.75,100,48
General-Mobile-DSTS3-Visual_id3886,,167,320,4,240,106,,120,3.00,16,120,49
Gionee-CTRL-V4_id8806,1,218,854,5,480,136,5,,,9.25,,67
Motorola-V980_id1024,,,220,,176,,,145,2.00,,137,
Toshiba-G450_id2623,,,39,,96,98,,200,2.20,16,57,36
Acer-beTouch-E110-American-version_id4447,3,143,320,8,240,103.5,5,,,13.4,105,54
Samsung-Rex-90_id7721,,165,480,5,320,113,,440,15.00,11.84,109,61.9
LG-Chocolate-3_id2712,,182,320,2,240,98,,350,4.50,16,95,49
Samsung-SGH-B320_id3292,,116,160,8,128,90,,360,6.00,19,88,46
LAVA-ARC-1_id7950,,116,160,8,128,112,,,,15,70,47
Videocon-V1290_id6064,,121,128,5,128,,,240,8.00,,,
Asus-Transformer-Book-Trio_id8140,1,190,1920,6,1080,304.9,2,,,9.7,700,193.8
Samsung-Galaxy-Ace-Style_id8580,1,233,800,0,480,121.5,5,,,10.5,123,63
Motorola-120t_id389,,,64,,96,124,,300,5.50,28,122,43
BlackBerry-Torch-9810_id5143,2,250,640,2,480,111,5,307,6.50,14.6,161,62
Sony-Ericsson-V800_id981,,,220,,176,102,,240,10.00,24,128,49
Samsung-Galaxy-K-zoom_id8532,1,306,1280,8,720,137.5,2,,,16.6,200,70.8
Alcatel-OT-915_id6802,3,143,320,8,240,,,,,,123,
Nokia-E75_id3429,3,167,320,4,240,111.8,,280,5.33,14.4,139,50
Spice-Mobile-X-Life-364-3G_id10163,1,,,5,,117.5,5,,,12,,62.9
Huawei-Honor_id6153,2,245,854,0,480,122,5,380,6.66,10.9,135,61.5
Alcatel-OneTouch-Flash-Plus_id9662,1,267,1280,5,720,,2,650,12.00,,147,
HTC-One-M8s_id9345,1,441,1920,0,1080,146.41,2,,,9.55,160,70.61
Pantech-PN-8300_id1583,,,320,,240,109,,192,3.00,25.5,134,48
LG-Venus_id2354,,200,320,0,240,101.6,,480,4.00,16,108,51
Spice-Mobile-Stellar-449-3G_id9199,1,218,854,5,480,134.5,5,60,5.50,8.7,156,69.5
Siemens-SX56_id451,3,,320,,240,129,,150,3.50,18,196,73
Nokia-Lumia-1020_id7876,1,334,1280,5,768,130.4,2,384,19.10,10.4,158,71.4
Micromax-X089_id8838,,159,220,8,176,113,,165,3.00,14.3,,46.3
Philips-655_id1084,,,160,,128,85,,400,4.00,24,90,45
Nokia-2710-Navigation-Edition_id4272,,182,320,2,240,111.2,,490,12.50,13.7,87,45.7
Samsung-GALAXY-Gio_id5171,3,180,480,2,320,110.5,,610,10.60,12.15,102,57.5
HTC-Butterfly-2_id8833,1,441,1920,0,1080,145.4,2,,,9.99,151,70.2
Samsung-GALAXY-W_id6098,2,252,800,7,480,115.5,5,530,18.33,11.5,112,60
ZTE-Chorus_id6605,3,146,400,2,240,112,,220,4.16,15,105,56
Samsung-SGH-S410i_id1204,,,220,,176,90,,150,3.00,23.6,87,45
Apple-iPad-Wi-Fi_id4986,3,132,768,7,1024,243,5,,,13,680,190
i-mobile-610_id4037,,157,220,8,176,96,,100,4.00,17.5,80,43.5
Gionee-Marathon-M5_id9459,1,267,1280,5,720,152,2,,,8.5,213,76
Nokia-5230_id4009,3,229,640,2,360,111,5,438,7.00,15.5,115,51.7
LG-Lancet-for-Android_id9763,1,218,854,5,480,129.8,1,420,10.70,10.7,143,64.8
Karbonn-Aura-9_id9794,1,196,854,0,480,144,1,300,10.00,9.6,160,71.8
LG-VX9400_id1755,,182,240,2,320,102,,458,3.80,18.5,115,49
