,cpu_rating,display_density,display_height,display_size,display_width,height,memory,standby_time,talk_time,thickness,weight,width
Xiaomi-Mi-4_id8777,1,441,1920,0,1080,139.2,3,280,,8.9,149,68.5
Amoi-F106_id7063,,154,320,6,240,121,,,,11,96,54
Fly-Iris-IQ4400_id9217,1,233,800,0,480,119.4,5,,3.50,9.7,,61
Spice-Mobile-M-5005_id6995,,116,160,8,128,,,,,,,
Celkon-A20_id8119,1,233,800,0,480,,5,,,,,
Samsung-Intensity-III_id7158,,167,320,4,240,112,,300,5.00,14,115,54
Xolo-Q520s_id9666,1,233,800,0,480,,5,610,19.00,,,
Kyocera-Torque_id7674,1,233,800,0,480,113,1,,18.00,14,156,60
Nokia-E90-Communicator_id1954,3,,352,,800,132,5,336,5.80,20,210,57
Videocon-A54_id8377,1,208,960,3,540,153.6,1,,,10.2,,78.1
Alcatel-Pixi-4-6_id9835,1,245,1280,0,720,165,1,650,26.00,8.35,186,83.8
Ericsson-R520m_id108,,,,,,130,,200,7.50,16,106,50
Motorola-SLVR-L7c_id1682,,,220,,176,113.5,,350,6.66,11.5,99,49
Samsung-SPH-A600_id489,,,160,,128,90,,240,2.70,23,125,49
Samsung-SGH-P400_id640,,,160,,128,91,,120,5.00,23,105,48
Sony-Ericsson-Z300a--Z300_id1390,,,128,,128,85.5,,250,5.50,23,91,45
Lenovo-IdeaTab-A1000_id7738,1,170,600,0,1024,199,1,,,10.7,340,121
LG-C1500_id1318,,,128,,128,83,,220,2.50,22,85,43
Sony-Xperia-Z1_id8000,1,441,1920,0,1080,145.7,2,600,15.00,8.55,162,73.9
Samsung-E2121B_id4698,,119,128,5,128,104.5,,650,9.50,14.6,83,45
LG-S367_id6878,,167,320,4,240,117,,450,8.00,11.5,85,50.9
Motorola-V170--V171_id993,,,64,,96,87,,230,10.00,22.7,87,45.6
Pantech-Breeze-II_id4624,,182,320,2,240,102,,240,3.00,18,99,51
LG-Optimus-Link_id6877,3,180,480,2,320,114,,333,4.50,12.1,125,59
Pantech-Jest_id4749,,174,320,6,320,94,,358,4.60,15,116,64
Nokia-6225_id829,,,128,,128,107,,240,2.40,21,98,46
ICEMOBILE-Prime-3,1,165,480,5,320,119.5,5,,,10.9,,63.5
HTC-Touch-Dual_id2408,3,154,320,6,240,107,5,180,5.00,15.8,120,55
Samsung-Universe_id4907,,,,,,,,,,,,
Acer-Iconia-W700_id7529,1,190,1080,6,1920,295,,,,13,1043,190
i-mobile-5230_id6385,,167,400,8,240,116,,300,9.00,14.4,,58
Kyocera-DuraShock_id8620,3,200,320,0,240,99,5,,8.00,23,125,51
AT-T-Z998_id8056,1,245,960,5,540,132,1,,4.00,10,136,66
Asus-MeMO-Pad-10_id8973,1,149,800,1,1280,256,1,,,9.9,525,174
Sony-Xperia-GX_id7055,1,319,1280,6,720,131,1,,,10.5,127,69
Xiaomi-Redmi-3_id9856,1,294,1280,0,720,139.3,2,,,8.5,144,69.6
Huawei-Ascend-G700_id8210,1,294,1280,0,720,142.5,2,,,8.95,155,72.8
Sony-Xperia-X_id9986,1,441,1920,0,1080,143,3,580,10.00,7.7,152,69
Spice-Mobile-Pinnacle-Stylus_id9238,1,267,1280,5,720,160,1,504,9.70,9.5,155,79
Huawei-MateBook_id10184,1,216,1440,0,2160,278.8,8,,,6.9,640,194.1
Samsung-Cht222_id5401,,128,220,2,176,109.5,,550,11.83,11.85,90,61.3
Motorola-270c_id66,,,100,,128,130,,225,4.00,25,133,51
Sony-Ericsson-Z555_id2530,,148,220,9,176,95,,307,9.00,17,95,49
Huawei-M228_id4229,,,,8,,109,,300,6.50,15,84,45
Spice-Mobile-QT-65_id5803,,,,2,,112,,250,4.50,11.8,98,60
Alcatel-OT-280_id5852,,114,160,8,128,91,,400,8.00,18,60,45
Sony-Ericsson-C901-GreenHeart-US_id3769,,182,320,2,240,105,,430,9.50,13,107,45
Motorola-MOTO-A4500_id3010,,,240,,320,,,,,,,
WND-Wind-DUO-2100_id2711,,222,320,8,240,98,,180,3.00,17.3,95,47.5
Sony-Ericsson-W518a_id3679,,182,320,2,240,93.5,,400,10.00,14,98,50
Motorola-C390_id1288,,,128,,128,107,,275,5.80,21,91,44
Karbonn-K-455_id6484,,141,220,0,176,95,,180,3.00,14.5,84,47
Micromax-X329_id8839,,143,320,8,240,134,,300,6.00,14.7,110,55
ZTE-e760_id6713,3,143,320,8,240,110.5,,150,4.00,16.1,145,59
Motorola-EX115_id4725,,174,240,3,320,61,,240,3.00,12.35,102,109
LG-3200--G3200--VX3200_id814,,,128,,128,85,,150,3.30,23.6,100,46
Samsung-Propel_id3159,,128,176,2,220,98,,250,5.00,15,107,59
Samsung-SGH-C520_id2237,,123,160,7,128,84.4,,260,6.00,18.2,74,45.1
BlackBerry-Curve-9320_id6871,3,164,240,4,320,109,5,432,7.00,12.7,103,60
Motorola-C350_id523,,,65,,96,100,,250,4.50,19,84,44
HTC-Desire-820_id8889,1,267,1280,5,720,157.7,2,,,7.74,155,78.74
Samsung-Character_id5457,,143,320,8,240,107,,288,5.00,15,120,55
Nokia-3500-classic_id2211,,,160,,128,107,,288,3.00,13.1,81,45
AT-T-U2800A_id6420,,114,160,8,128,111,,461,4.30,14,76,47
Nokia-N93_id1580,,,320,,240,118,,240,5.00,28,180,55.5
Micromax-Canvas-Juice-3_id9687,1,294,1280,0,720,,2,514,14.00,,,
Samsung-Galaxy-Tab-S2-9,1,264,2048,7,1536,237.3,3,,,5.6,389,169
Samsung-Galaxy-Tab-S2-8,1,320,2048,0,1536,198.6,3,,,5.6,265,134.8
Samsung-SGH-C240_id1644,,,160,,128,104,,360,5.90,15.6,68,42.5
General-Mobile-Discovery-Air_id9496,1,306,1280,8,720,139.8,1,,,5.15,98,67.5
HTC-Desire-Z_id4888,3,252,800,7,480,119,5,430,9.83,14.16,180,60.4
Motorola-A1260_id5720,3,155,400,0,240,106.9,5,220,5.83,18.5,120,54.5
Handspring-Treo-180_id81,3,,,,,109,,60,2.50,18,147,69
Zen-Mobile-M2_id7991,,100,160,0,120,,,480,15.00,,,
Motorola-E1060_id1121,,,320,,208,107,,,,21,125,53
Sanyo-SCP-5150_id40,,,128,,120,94,,240,3.00,28,116,48
Sony-Xperia-XA-Ultra_id10052,1,367,1920,0,1080,164.2,3,,,8.4,190,79.4
Nokia-Lumia-1525_id8332,1,490,2560,0,1440,,3,,,,,
Alcatel-OT-506D_id5454,,116,160,8,128,106,,400,6.00,13.4,80,46
Samsung-SGH-X480_id1191,,,160,,128,85,,220,6.00,22,75,43.5
Alcatel-OT-S319A_id2806,,114,160,8,128,90.5,,400,7.00,18.2,90,44.5
LAVA-Iris-401_id9325,1,233,800,0,480,126,5,250,9.67,10.35,,65
Nokia-207_id7944,,166,320,4,240,114.2,,490,12.00,12.8,91,50.9
Samsung-SGH-X910_id789,,,160,,128,105,,,,24,129,48
Samsung-Gusto-2_id7039,3,102,160,0,128,97,,350,7.00,19,111,49
LAVA-Iris-355_id7799,3,165,480,5,320,115,5,620,7.80,12.85,,61
Motorola-W181_id2599,,,128,,128,110,,465,9.83,15,80,45
Nokia-8800-Gold-Arte_id3346,,200,320,0,240,109,,300,3.33,14.6,150,45.6
Samsung-SGH-i400_id2123,,174,320,3,240,101,,256,6.00,15.8,92,50
LG-V9000_id2055,,,320,,240,103,,160,2.00,23.5,155,50
Samsung-OMNIA-Pro-5_id4717,,167,240,4,320,116.5,,,,11.5,,61.8
Celkon-C5055_id8607,,143,320,8,240,102,,,,13.6,91,57
OPPO-Neo-5_id8851,1,218,854,5,480,132,1,,,9.2,132,65.8
Gionee-Elife-E6_id8781,1,441,1920,0,1080,142.5,2,,,7.9,128,69.4
Samsung-SGH-S425G_id7149,3,167,320,4,240,115,,300,6.00,15,117,54
Latte-Boom_id2256,,188,220,5,176,89,,,,22.9,,37
LG-KS10-JOY_id1998,3,167,320,4,240,104,,220,3.00,19,99,52
Maxwest-TAB-7360_id8017,2,133,480,0,800,,1,,,,,
Videocon-V1531_id6788,,167,320,4,240,114.5,,,,15,,51.5
Verykool-Maverick-Jr,1,267,1280,5,720,157,5,288,9.00,8.10,172,77.7
i-mobile-S351_id6311,,143,320,8,240,,,340,5.60,,,
Samsung-SPH-A780_id885,,,,,,,,168,3.40,,,
Google-Nexus-9_id8926,1,288,2048,9,1536,228.25,2,720,,7.95,425,153.68
Sony-Ericsson-P990_id1350,3,,320,,240,,,400,9.00,,155,
BlackBerry-Q5_id7853,1,329,720,1,720,120,2,,,10.8,120,66
Samsung-Exec_id4327,3,167,240,4,320,117,,450,8.00,11,105,60
Nokia-C3_id4541,,167,240,4,320,115.5,,480,7.00,13.6,114,58.1
Nokia-2320-classic_id4086,,114,160,8,128,107,,528,4.00,13.8,76,46
Microsoft-KIN-TWO-GSM_id4561,,170,480,4,320,,5,,,,,
Alcatel-A382G_id7780,,141,220,0,176,117,,384,3.90,13,100,58
Huawei-Pinnacle_id5446,,167,240,4,320,110,,250,4.00,13,100,61
NIU-PANA-TV_id7162,,141,220,0,176,111,,150,4.00,13.5,70,58.5
LAVA-KKT-11_id6100,,114,160,8,128,,,720,12.00,,,
LG-CP150_id2947,,121,128,5,128,88,,456,3.50,19,81,47
Xolo-One_id9115,1,218,854,5,480,128,1,430,19.00,9.3,,64.3
Micromax-Bolt-Supreme_id10127,1,165,480,5,320,,5,216,13.00,,,
LG-AX380_id2323,,,220,,176,94,,200,3.00,20,86,47.5
LAVA-Iris-400s_id9367,1,233,800,0,480,125,5,150,10.45,10.15,,64
Apple-iPhone-3G_id2962,3,165,480,5,320,115.5,5,300,10.00,12.3,133,62.1
Alcatel-OT-505_id5355,,116,160,8,128,107,,450,9.00,14.3,70,46
Sony-Ericsson-Xperia-X10-mini-a_id4438,3,157,320,5,240,83,,285,4.00,16,88,50
Alcatel-OT-C651_id1212,,,160,,128,90,,250,7.00,24,92,48
AT-T-Fusion-2_id7375,3,165,480,5,320,116,5,348,5.00,12,124,61
Alcatel-OT-C820_id2199,,,220,,176,96,,300,6.00,18,99,50
Motorola-i80s_id56,,,,,,137,,68,3.25,25,113,51
Apple-iPhone-5s_id7710,1,326,1136,0,640,123.8,1,250,,7.6,112,58.6
Samsung-SCH-U430_id2888,,,160,,128,93,,336,5.00,20,91,47
Micromax-X210_id5961,,114,160,8,128,106.78,,240,4.50,15.2,42,43.99
Xolo-A1000s_id9132,1,196,854,0,480,128,1,650,29.00,8.98,,63
Micromax-X226_id5939,,116,160,8,128,112.3,,144,5.00,14.5,95,46.5
LG-KM500_id2616,,200,320,0,240,100,,250,3.00,14.5,155,48
Zen-Mobile-M25_id6165,,167,240,4,320,,,1728,12.00,,,
Eten-X900_id2955,3,286,640,8,480,106,5,,,17,146,60.5
Samsung-Advance_id4548,,155,400,0,240,109.2,,350,5.00,12.6,94,52.3
LG-C365_id6709,,174,240,3,320,113.6,,100,4.00,12.9,102,61.9
Xiaomi-Redmi-2_id9045,1,312,1280,7,720,133.9,1,,,9.4,134,67.1
HTC-Harrier_id907,3,,320,,240,125,5,168,4.00,18.7,210,69.8
Nokia-E7_id4883,3,184,640,0,360,123.7,5,432,9.00,13.6,176,62.4
HTC-One-E9_id9153,1,534,2560,5,1440,156.5,3,590,21.55,7.54,150,76.5
Panasonic-DuraMax_id390,,,,,,122,,400,4.00,28,139,51
GIGABYTE-G1345_id6126,3,165,480,5,320,120,5,115,4.50,13.9,123,62.5
T-Mobile-myTouch-Q-2_id7022,2,233,800,0,480,124.8,1,185,6.00,14.3,185,63.9
Samsung-SGH-M120_id3310,,121,160,7,128,107,,553,10.70,15.9,,45
Motorola-Moto-G-2014_id8898,1,294,1280,0,720,141.5,1,,,11,149,70.7
LG-Lucid-3_id8596,1,234,960,7,540,132,1,360,12.50,10,124,66
LG-X-cam_id9959,1,424,1920,2,1080,147.5,2,260,5.66,6.9,118,73.6
i-mobile-3G-5512_id6396,,167,320,4,240,112,,300,9.00,13.2,,50
LG-V10_id9679,1,515,2560,7,1440,159.6,4,120,10.00,8.6,192,79.3
Motorola-W403_id3924,,114,160,8,128,95,,300,8.33,16,76,46
Motorola-i50sx_id58,,,,,,133,,75,2.75,30,145,52
Samsung-Lindy-M5650_id4291,,143,320,8,240,106,,300,3.00,12,98,57
